year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,datasource,classid,topicid,locationid,breakoutid,breakoutcategoryid,questionid,responseid,geolocation
2022,23060,"Fort Wayne, IN Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,131,23.5,19.4,27.6,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,23060,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '41.0069813', 'longitude': '-85.2164004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,23060,"Fort Wayne, IN Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,477,76.5,72.4,80.6,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,23060,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '41.0069813', 'longitude': '-85.2164004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10100,"Aberdeen, SD Micropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,139,21.6,17.1,26,1,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10100,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '45.5194353', 'longitude': '-98.7007003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10100,"Aberdeen, SD Micropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,661,78.4,74,82.9,9,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10100,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '45.5194353', 'longitude': '-98.7007003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,90,17.3,12.1,22.6,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10380,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '18.3569648', 'longitude': '-67.0078951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,414,82.7,77.4,88,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10380,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '18.3569648', 'longitude': '-67.0078951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10420,"Akron, OH Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,170,28.3,23.8,32.8,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10420,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '41.1466315', 'longitude': '-81.3501066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10420,"Akron, OH Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,542,71.7,67.2,76.2,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10420,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '41.1466315', 'longitude': '-81.3501066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,195,22,17.9,26.1,2,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10580,BO1,CAT1,ADDEPEV3,RESP046,"{'latitude': '42.65244', 'longitude': '-73.76085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2022,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,858,78,73.9,82.1,10,%,Age-adjusted Prevalence,BRFSS,CLASS03,TOPIC17,10580,BO1,CAT1,ADDEPEV3,RESP054,"{'latitude': '42.65244', 'longitude': '-73.76085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
