year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,confidence_limit_low,confidence_limit_high,display_order,data_value_unit,data_value_type,datasource,classid,topicid,locationid,breakoutid,breakoutcategoryid,questionid,responseid,geolocation,data_value_footnote_symbol,data_value_footnote
2023,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,159,6.4,5.16,7.640000000000001,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,01,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '32.84057112200048', 'longitude': '-86.63186076199969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,20,,,,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,01,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '32.84057112200048', 'longitude': '-86.63186076199969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",*,Age-adjusted prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.
2023,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,311,10.454,9.044,11.864,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,01,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '32.84057112200048', 'longitude': '-86.63186076199969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,140,5.2559,4.1758999999999995,6.3359,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,01,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '32.84057112200048', 'longitude': '-86.63186076199969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,3694,77.2377,75.3077,79.16770000000001,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,01,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '32.84057112200048', 'longitude': '-86.63186076199969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,379,8.1375,6.9975,9.2775,472,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,02,BO1,CAT1,CHECKUP1,RESP066,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,57,1.3692,0.9292,1.8092,473,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,02,BO1,CAT1,CHECKUP1,RESP067,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,572,11.167,9.987,12.347,470,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,02,BO1,CAT1,CHECKUP1,RESP064,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,402,7.9058,6.8958,8.9158,471,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,02,BO1,CAT1,CHECKUP1,RESP065,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
2023,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,4006,71.4205,69.6905,73.15050000000001,469,%,Age-adjusted Prevalence,BRFSS,CLASS07,TOPIC36,02,BO1,CAT1,CHECKUP1,RESP063,"{'latitude': '64.84507995700051', 'longitude': '-147.72205903599973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
